I ran a mile , I felt pretty good afterward . Much more energetic .	Running
I did weight lifting and felt much more exhausted but still strong	Dead lifts
I performed 45 weighted squats , and I felt pumped up .	Squats
I curled 50lbs and my arms were very sore .	Bicep Curl
I cycled for one hour and my legs were in so much pain after !	Bicycling
I played three tennis matches and my back hurts so much right now	Tennis
i did 10 push ups and felt good	Push ups
i walked for 1 mile and it felt good	Walking
ran a mile and tired	Running
biked a two miles and okay	Bicycling
I ran one mile and felt dead tired afterwords .	Running
I took a light walk for half an hour and felt relaxed after it .	Walking
I used an elliptical machine for about two minutes on its maximum resistance setting and felt exhausted afterwards .	Elliptical Machine
I did about thirty push - ups and felt tired afterwards .	Push ups
I spent the day working out on the exercise bike for the first time in about a year , and I woke up the net morning so sore on my legs and arms .	Bicycling
I ran uphill with a friend and the next day , my heels and calfs were killing me from soreness	Running
I lifted weights and felt strong !	Weights, general
I did 25 bicycle crunches and felt pained .	Abdominal Crunches
I ran for 1 mile and felt energized afterwards	Running
I did a max deadlift session and felt completely exhausted	Dead lifts
I did a 30 minute HIT workout from youtube . Afterwards I felt energized	Interval Training
I did 10 chest press .   Afterwards I felt weak and shaky	Bench press
In spite of doing breathing exercise there was difficulty in breathing	Yoga
After doing aerobics for 30 minutes I was feeling fatigue	Aerobics
I did 200 situps and my back became sore , so I felt bad	Sit Ups
I ran 3 miles and my legs were fine , but my lungs hurt	Running
I walked for 10 miles and I felt tired	Walking
I played golf for 4 hours and was energized	Golf
I jogged around my drive way and I felt tired after .	Jogging
I walked on a treadmil at the gym for an hour and I felt accomplished after .	Walking
I walked 2 miles and felt energized	Walking
I lifted weights and felt exhausted	Weights, general
I stretched for 10 minutes and I feel like it helped	Stretching
I walked for 5 miles and I feel great .	Walking
Two miles in the new wheelchair .   I have aches in muscles I did n't know existed .	Other
Twenty minutes of water exercise . Feeling waterlogged and very tired .	Water Aerobics
I walked at a very brisk pace through the mall - from one end to the other which is reportedly a mile - twice .   I felt invigorated and really enjoyed it .   By the time I finished , I was tired and ready to go .	Walking
I went to Curves circuit , where I 'm a member .   I typically enjoy the Curves circuit , but I was very annoyed by an employee .	Exercise Class
I did 30 minutes on the elliptical machine and I still felt like I could continue .	Elliptical Machine
I did a one hour pilates class and felt energized but sore .	Pilates
I did 2 zumba classes and could not feel my legs afterwards	Aerobics
I went for a hike and am totally exhausted	Hiking
I play 2 hours of basketball and i felt tired	Basketball
