I ran a mile , I felt pretty good afterward . Much more energetic .	ran	Running
I did weight lifting and felt much more exhausted but still strong	weight lifting	Dead lifts
I performed 45 weighted squats , and I felt pumped up .	squats	Squats
I curled 50lbs and my arms were very sore .	curled	Bicep Curl
I cycled for one hour and my legs were in so much pain after !	cycled	Bicycling
I played three tennis matches and my back hurts so much right now	tennis	Tennis
i did 10 push ups and felt good	push ups	Push ups
i walked for 1 mile and it felt good	walked	Walking
ran a mile and tired	ran	Running
biked a two miles and okay	biked	Bicycling
I ran one mile and felt dead tired afterwords .	ran	Running
I took a light walk for half an hour and felt relaxed after it .	walk	Walking
I used an elliptical machine for about two minutes on its maximum resistance setting and felt exhausted afterwards .	elliptical machine	Elliptical Machine
I did about thirty push - ups and felt tired afterwards .	push - ups	Push ups
I spent the day working out on the exercise bike for the first time in about a year , and I woke up the net morning so sore on my legs and arms .	exercise bike	Bicycling
I ran uphill with a friend and the next day , my heels and calfs were killing me from soreness	ran uphill	Running
I lifted weights and felt strong !	weights	Weights, general
I did 25 bicycle crunches and felt pained .	bicycle crunches	Abdominal Crunches
I ran for 1 mile and felt energized afterwards	ran	Running
I did a max deadlift session and felt completely exhausted	deadlift	Dead lifts
I did a 30 minute HIT workout from youtube . Afterwards I felt energized	HIT workout	Interval Training
I did 10 chest press .   Afterwards I felt weak and shaky	chest press	Bench press
In spite of doing breathing exercise there was difficulty in breathing	breathing exercise	Yoga
After doing aerobics for 30 minutes I was feeling fatigue	aerobics	Aerobics
I did 200 situps and my back became sore , so I felt bad	situps	Sit Ups
I ran 3 miles and my legs were fine , but my lungs hurt	ran	Running
I walked for 10 miles and I felt tired	walked	Walking
I played golf for 4 hours and was energized	golf	Golf
I jogged around my drive way and I felt tired after .	jogged	Jogging
I walked on a treadmil at the gym for an hour and I felt accomplished after .	walked	Walking
I walked 2 miles and felt energized	walked	Walking
I lifted weights and felt exhausted	lifted	Weights, general
I stretched for 10 minutes and I feel like it helped	stretched	Stretching
I walked for 5 miles and I feel great .	walked	Walking
Two miles in the new wheelchair .   I have aches in muscles I did n't know existed .	wheelchair	Other
Twenty minutes of water exercise . Feeling waterlogged and very tired .	water exercise	Water Aerobics
I walked at a very brisk pace through the mall - from one end to the other which is reportedly a mile - twice .   I felt invigorated and really enjoyed it .   By the time I finished , I was tired and ready to go .	walked	Walking
I went to Curves circuit , where I 'm a member .   I typically enjoy the Curves circuit , but I was very annoyed by an employee .	Curves circuit	Exercise Class
I did 30 minutes on the elliptical machine and I still felt like I could continue .	elliptical machine	Elliptical Machine
I did a one hour pilates class and felt energized but sore .	pilates class	Pilates
I did 2 zumba classes and could not feel my legs afterwards	zumba classes	Aerobics
I went for a hike and am totally exhausted	hike	Hiking
I play 2 hours of basketball and i felt tired	basketball	Basketball
I ply 1 hour of indoor soccer and i was exhausted	indoor soccer	Soccer
I jogged around the block and felt energized .	jogged	Jogging
I swam the length of the pool 10 times and felt satisfied .	swam	Swimming
DOING CYCLING UP TO 10 KM AND I FEEL HIGH RATE OF HEART - BEAT .	CYCLING	Bicycling
SECOND EXERCISE IS SKIPPING AND I FEEL GOOD BODY MAINTAINING AFTER DOING THAT .	SKIPPING	Skipping
I walked for three miles and felt invigorated .	Walked	Walking
I ran 5 times around the track and felt sore .	Ran	Running
I lifted weights for 45 minutes and I feel sore .	lifted	Weights, general
I ran the treadmill for 30 minutes and I feel exhausted	ran	Running
I rode on my bike for approximately 1 hour and felt so energetic afterwards .	bike	Bicycling
I lifted weights for 30 minutes and felt VERY lightheaded not too long afterwards .	weights	Weights, general
I took my dog for a walk and I felt refreshed .	walk	Walking
I lifted some weights focusing on legs and felt amazing and energized after .	lifted	Weights, general
I ran one mile in 10 minutes last night and was exhausted .	ran	Running
I deadlifted the other day and felt great .	deadlifted	Dead lifts
I walked for five miles and felt tired .	walked	Walking
I hiked up a hill and felt very strong !	hiked	Hiking
I spent 90 minutes on the elliptical and felt energetic .	elliptical	Elliptical Machine
I walked the dog for a mile and felt refreshed .	walked	Walking
I walked for two hours and felt very tired afterwards	walked	Walking
I went swimming for half an hour felt really good afterwards	swimming	Swimming
I walked 5 miles and boy my legs are tired	walked	Walking
I walked 3 miles and now feel more energized	walked	Walking
Run and felt so tired	Run	Running
Sit up and was exhausted	Sit up	Sit Ups
I did a set of 20 push ups and felt good after .	push ups	Push ups
I did a 30 crunches and felt warmed up .	crunches	Abdominal Crunches
I went to my barbell class and felt so energized afterwards	barbell class	Weights, general
I lifted a lot of weights and felt so sore the next 2 days .	lifted	Weights, general
Dumbbell curls and I felt great afterwards	Dumbbell curls	Bicep Curl
Followed a workout video on youtube and felt tired but refreshing afterwards like I had accomplished something	workout video	Aerobics
I cycled 30 miles and felt energized and healthy	cycled	Bicycling
I power walked 5 miles and felt so good that i wanted to go farther	walked	Walking
I ran 5 miles and was exhausted but I felt great .	ran	Running
I did arms in the gym and felt sore .	arms	Bicep Curl
i ran five miles and i feel better energized	ran	Running
i take a weight lifting in Gym . i feel body fitness	weight lifting	Weights, general
I hiked for three hours and felt tired during and after .	hiked	Hiking
I did 15 minutes on the elliptical and feel pained .	elliptical	Elliptical Machine
I maxed out doing squats and felt like I could n't stand on my own legs	maxed out	Squats
I ran a Ultra Beast Spartan Race and felt like I was going to die	ran	Running
I hiked for 60 minutes with my dog and felt really perky throught out and after it .	hiked	Hiking
I did some crunches and felt sore .	crunches	Abdominal Crunches
I ran on the treadmill for 30 minutes . I felt determined and strong . I made sure to start out slowly and slowly go faster so I would n't tire myself out . I felt relaxed yet active and accomplished at the same time .	Ran	Running
Lifting weights . I am not very strong so I can not lift very heavy and I always feel a little sore afterwards but I felt determined and interested in what I was doing . And I felt proud that I was doing it and going through any discomfort or hurdles .	Lifting weights	Weights, general
I ran seven miles and I felt full of energy .	ran seven miles	Running
I did thirty minutes of a high intensity training workout and I felt hungry .	high intensity training	Interval Training
I did upper body workout for 30min and felt strong .	upper body workout	Weights, general
I did 30min of yoga and was quite bored from it .	yoga	Yoga
I PLAYED BASKETBALL LAST WEEK , I WAS TIRED AFTER TWO GAMES BECAUSE I'M NOT IN GREAT SHAPE ANYMORE .	BASKETBALL	Basketball
YESTERDAY I WAS WORKING OUT DOING PUSH UPS . I GOT TIRED AFTER ONLY FIFTY PUSH UPS AND QUIT BECAUSE MY MUSCLES IN MY ARMS WERE CRAMPING UP AND IT WAS HURTING .	PUSH UPS	Push ups
I did 300 jumping jacks and felt sore	jumping jacks	Jumping Jacks
I did 100 push ups and got tired	push ups	Push ups
ran 2 miles i felt energized	ran	Running
lift weights i felt strong	lift weights	Weights, general
I took a 20 mile bike ride on local trails my legs were sore but it was fun .	bike ride	Bicycling
I did an hour on the exercise bike this morning I was worn out after	exercise bike	Bicycling
I went kickboxing and felt clearminded after	kickboxing	Martial Arts
i lifted weights at the gym and felt pumped after	lifted	Weights, general
I spent 30 minutes on the elliptical and was winded and exhausted .	elliptical	Elliptical Machine
I went uphill hiking for 30 minutes and felt strong and refreshed .	hiking	Hiking
I played an hour of basketball and was tired	basketball	Basketball
I swam for an hour and was spent	swam	Swimming
i running at the morning five miles . then i feel energized .	running	Running
i take weight lifting in Gym . Then i feel fitness .	weight lifting	Weights, general
I ran 5 km along the beach and I felt exhausted	ran	Running
I did my usual routing of free body and weighted exercises at the park . my muscles are sore .	free body and weighted exercises	Bodyweight exercises, general
I swam for twenty minutes and I felt like I could hardly breathe .	swam	Swimming
I walk for an hour and I was tired and ready for a nap .	walk	Walking
I did jumping jacks and felt tired	jumping jacks	Jumping Jacks
I ran and felt winded	ran	Running
the core exercise being low bar squats and found them extremely taxing	squats	Squats
I lifted heavy dead lifts , and had considerable soreness in my upper back the next day	dead lifts	Dead lifts
I did barbell squats for an hour and felt very tired	barbell squats	Squats
I swam for 30 minutes and felt refreshed	Swam	Swimming
I jogged two laps and was exhausted and worn out .	jogged	Jogging
I played tennis with my spouse and felt great !	tennis	Tennis
I walked 2 miles and felt more alert and upbeat .	walked	Walking
I ran for 20 minutes and felt exhausted .	ran	Running
I did yoga and I felt centered .	Yoga	Yoga
I went running and I felt exhilarated .	Running	Running
I walked a mile , and I felt good .	walked	Walking
I did yoga for an hour , and I felt refreshed .	yoga	Yoga
I jogged for two miles and felt great afterwards .	jogged	Jogging
I felt very tired after doing some squat thrusts for 30 minutes .	squat thrusts	Other
I WALK FIVE MILES AND I FELT VERY TIRED .	WALK	Walking
I PLAYED A GOLF AND I FEEL VERY DISGUST	GOLF	Golf
I walked down to the river and my achilles hurt .	walked	Walking
I biked down the riverwalk and felt great !	biked	Bicycling
I ran a 5k and felt like I really accomplished something .	ran	Running
I went to hot yoga and felt super relaxed after .	yoga	Yoga
I danced in heels for an hour and my legs were sore !	danced	Dancing
I did 50 push - ups and my arms are tired now !	push - ups	Push ups
I ran 20 minutes and I was feeling great .	ran	Running
I did 3 sets of 1 minute planks and I was feeling great .	planks	Planking
i walk two miles and i feel very restless .	walk	Walking
i play a basketball three hours and i felt so tired .	basketball	Basketball
I ran 5 miles around my neighborhood . I felt tired , but grateful that my body was able to run 5 miles up and down hills .	ran	Running
I did an insanity workout video . Initially , I felt sore after completing the work out but after cooling down I felt good about myself and what my body was capable of doing .	insanity workout	Interval Training
I ran 4 miles on the treadmill and it was hard .	ran	Running
I ran 3 miles on the treadmill and I could have done more .	ran	Running
did split squats and felt exhausted .	split squats	Lunges
did chest press and felt energized	chest press	Bench press
i running five miles at the morning . then i feel energized .	running	Running
i take a weight lifting and general exercise . then i feel fit .	weight lifting	Weights, general
I played basketball and felt exhilirated .	Basketball	Basketball
I walked and felt refreshed .	Walked	Walking
did 50 pushups up in a row , felt great	pushups	Push ups
did 100 situps in a row , it burns	situps	Sit Ups
I climbed stairs for 100 floors and I felt pooped	stairs	Stair Climbing
I lifted weights for 30 minutes and felt rejuvenated	weights	Weights, general
I ran a billion millimeters and felt overcome with joy !	ran	Running
I swam three thousand feet and felt totally refreshed !	swam	Swimming
I ran 2 miles this morning and felt terrible afterwards . 	ran	Running
I went to crosfit this afternoon and did a variety of exercise .	crosfit	Interval Training
I walked 2 miles and I felt tired .	walked	Walking
I lifted weights for an hour and I felt great .	lifted weights	Weights, general
I walked 1.3 miles at a very brisk pace , and felt loosened up and less sore .	walked	Walking
I hiked from my house to the top of Spencer Butte , about 10.5 miles one way . I felt tired and my feet hurt , but the experience was invigorating .	hiked	Hiking
I ran 5 km and it felt great .	ran	Running
I rode my bike and felt refreshed .	bike	Bicycling
I worked out with free weights for 30 minutes and I felt great afterwards !	free weights	Weights, general
I ran on the treadmill for 5 minutes and felt exhausted .	treadmill	Running
skipping . i feeling its very energetic and give flexibility to my hip .	skipping	Jumping Jacks
jogging . i feel shortly i get tired after going to jogging  	jogging	Jogging
I exercised 60 minutes on the elliptical trainer , and I felt good and in high spirits after that .	elliptical	Elliptical Machine
I ran 15 minutes on the treadmill and felt totally exhausted after that .	treadmill	Running
Walk thru town , excited	walk	Walking
Bike ride on canal , carefree	bike ride	Bicycling
I SKIP FOR EVERY DAY MORNING.THIS FEEL VERY BEATER  	SKIP	Skipping
SKIPPING IS ONE OF THE BEST GAME AND EXERCISE . I FEEL WEIGHT LOSS	SKIPPING	Skipping
i walked around 10 miles and felt like exhausted	walked	Walking
i worked out in gym and did 20 push ups and my muscles felt like they were going to torn out	push ups	Push ups
I Have Early Morning Go to Running . I Am Very Energetic On The Day .	Running	Running
I Have Every Evening I Am Swim In Pool . I Have Very Relax in My Body .	Swim	Swimming
I completed an hour chest workout and I feel energized .	chest workout	Bench press
I played a whole day of basketball and I feel sored .	basketball	Basketball
I swam a kilometre and felt pleasantly tired	swam	Swimming
I played several tennis matches and was worn out afterwards	tennis	Tennis
I ran on the elliptical and got my blood pumping !	ran	Running
I lifted weights and can feel the adrenaline flowing !	weights	Weights, general
I cycling and i get full energy of body	cycling	Bicycling
I swim daily i get breath relaxation .	swim	Swimming
I ran for ten minutes and felt out of shape	ran	Running
I biked one mile and felt tired	biked	Bicycling
I ran 10 miles and I felt refreshed !	ran	Running
I did sit ups 15 times and I felt exhausted after .	sit ups	Sit Ups
I did 100 squats and felt great .	squats	Squats
I went cross country skiing and felt very alive .	cross country skiing	Skiing
I ran 2 miles and felt like my lungs were on fire	ran	Running
i weight lifted for 1 hour and felt sore but also clear headed and energized	weight lifted	Weights, general
I rode a bicycle for 30 minutes and I feel refreshed	rode	Bicycling
I ran for 20 minutes and I feel exhausted .	ran	Running
I hiked three miles and felt awake , connected to nature and happy .	hiked	Hiking
I biked nine miles and felt tired , but energized , and I felt confident .	biked	Bicycling
I ran six kilometers and felt tired but relaxed afterwards . My head felt clear and good , and my calves and legs felt tired but relaxed .	ran	Running
I did 5 set of 9 wide chinups and then 5 more sets of close chinups . My back muscles felt sore afterwards , but I felt satisfaction and a sense of achievement .	chinups	Chin ups
I PLAYED FOOTBALL WITH MY SON FOR THE PAST 2 HOURS AND IM FEELING GREAT	PLAYED FOOTBALL	American Football
BOY IM TIRED AFTER SWIMMING AROUND THE LAKE	SWIMMING	Swimming
I played an hour of netball game and though I was exhausted afterwards it was fulfilling .	netball game	Netball
I power walked for half an hour and I felt energised and made me feel good .	power walked	Power walking
I ran 3.75 miles with Virginia and felt great .	Ran	Running
I walked one lap and it rained , I was miserable .	Walked	Walking
My legs are burning from doing so many squats .	squats	Squats
I planked for so long that it hurt my core for three days .	planked	Planking
I walked 4 miles and I felt very tired .	walked	Walking
I did 200 sit - ups and felt very energized .	sit - ups	Sit Ups
I did 30 minutes of the stairmaster and I am so exhausted now !	stairmaster	Stair Climbing
I swam for 1 hour and I am very tired .	swam	Swimming
i feel tired , i just ran three miles .	ran	Running
i feel energized , i just shot 3 rounds of archery	archery	Archery
I did squats and my legs were on fire !	squats	Weights, general
I did bench press and my chest was sore the next morning .	bench press	Bench press
Running , 5 miles . 7:15 pace . 67 degrees . Felt fast	Running	Running
Hiked Pisgah , 1:45 It was hot .	Hiked	Hiking
I ran 8 km and i felt fresh afterwards	ran	Running
I made 40 push - ups and i felt weak	push - ups	Push ups
I walked for 15 minutes , and I feel awake .	walked	Walking
I then run for an hour and afterwards feel exhausted .	run	Running
I ran on an ellpitcal for 35 minutes . I feel exhausted .	ran	Elliptical Machine
I did three sets of 8 on bench press . I increased weight and felt accomplished .	bench press	Weights, general
i just swam 10 laps and i feel super energized	swam	Swimming
i just went jogging and i felt tired right away even though i did a whole mile .	jogging	Jogging
I felt energized and refreshed after using the elliptical for 25 minutes .	elliptical	Elliptical Machine
My legs felt like jelly after using the elliptical for 45 minutes today .	elliptical	Elliptical Machine
I did an ab workout and I felt sore afterwards .	Ab workout	Abdominal Crunches
I did a toning butt workout and it did nt hurt after the first time but did the second day .	Butt workout	Lunges
I ran on the treadmill for 45 minutes and I feel good	ran	Running
I did 80 push - ups and now I 've shoulders aching	push - ups	Push ups
Bench press , I felt really good after the chest pump	Bench press	Bench press
Squats , after my excersise my legs felt they were going to fall off	Squats	Squats
I just walked a fast 3 miles and I feel exhausted and sore already	walked	Walking
i just did an arm workout with light weights and i feel tired but good	arm workout	Bicep Curl
I lifted weights using dumbbells and felt exhausted after .	lifted weights	Weights, general
After jogging for twenty minutes , I felt like I could fall asleep on the ground .	jogging	Jogging
I played volleyball for 2 hours and am tired	volleyball	Volleyball
I ran 2 miles on the track and i feel great	ran	Running
I do functional training every day and I get exhausted when I 'm done .	Functional Training	Other
I do hydrogymnastics three times a week , the exercises are simple . However , they are tiring .	Hydrogymnastics	Other
I do 10 sit ups and I feel accomplished but also very tired .	sit ups	Sit Ups
I did 15 russian twists , which makes me feel invigorated	russian twists	Abdominal Crunches
I just took an hour long spin class , and I feel energized !	spin class	Exercise Class
I just walked four miles , and I feel exhausted .	walked	Walking
I ran 4 miles and I feel drained .	ran	Running
I deadlifted 500 lbs and I felt unstoppable !	deadlifted	Dead lifts
running at early   morning gives good energy	running	Running
swimming gives a lot stress release	swimming	Swimming
I swam 20 laps and I felt energized !	swam	Swimming
I just walked 3 miles and I felt so tired .	walked	Walking
I just did 25 sit - ups , and I felt tighten up	sit - ups	Jogging
I just went for a jog this morning and felt tired .	  jog	Sit Ups
I did a brisk walk and felt really tired .	brisk walk	Walking
I played a volley ball game and I felt completely wiped out .	volley ball	Volleyball
I just ran 8 laps around the park and I feel extremely exhausted !	ran	Running
